Full_name,Team,Conference
Atlanta Hawks,ATL,East
Boston Celtics,BOS,East
Brooklyn Nets,BRK,East
Charlotte Hornets,CHO,East
Chicago Bulls,CHI,East
Cleveland Cavaliers,CLE,East
Dallas Mavericks,DAL,West
Denver Nuggets,DEN,West
Detroit Pistons,DET,East
Golden State Warriors,GSW,West
Houston Rockets,HOU,West
Indiana Pacers,IND,East
Los Angeles Clippers,LAC,West
Los Angeles Lakers,LAL,West
Memphis Grizzlies,MEM,West
Miami Heat,MIA,East
Milwaukee Bucks,MIL,East
Minnesota Timberwolves,MIN,West
New Orleans Pelicans,NOP,West
New York Knicks,NYK,East
Oklahoma City Thunder,OKC,West
Orlando Magic,ORL,East
Philadelphia 76ers,PHI,East
Phoenix Suns,PHO,West
Portland Trail Blazers,POR,West
Sacramento Kings,SAC,West
San Antonio Spurs,SAS,West
Toronto Raptors,TOR,East
Utah Jazz,UTA,West
Washington Wizards,WAS,East
